2024-10-09	3952	1977	50.03%	196	4.96%	1779	45.02%	538	51.04%	129	12.24%	387	36.72%	55.01%	-3.76%
2024-10-08	5884	3609	61.34%	209	3.55%	2066	35.11%	822	47.11%	182	10.43%	741	42.46%	51.62%	4.59%
2024-09-30	3361	2341	69.65%	77	2.29%	943	28.06%	463	57.44%	120	14.89%	223	27.67%	60.42%	8.06%
2024-09-27	1180	862	73.05%	40	3.39%	278	23.56%	196	59.21%	38	11.48%	97	29.31%	60.47%	2.89%
2024-09-26	2051	1723	84.01%	38	1.85%	290	14.14%	476	75.20%	42	6.64%	115	18.17%	69.96%	3.61%
2024-09-25	1743	1520	87.21%	26	1.49%	197	11.30%	253	68.56%	50	13.55%	66	17.89%	67.74%	1.16%
2024-09-24	999	834	83.48%	11	1.10%	154	15.42%	402	87.39%	19	4.13%	39	8.48%	77.62%	4.15%
2024-09-23	1943	1588	81.73%	31	1.60%	324	16.68%	911	87.60%	44	4.23%	85	8.17%	77.80%	0.44%
2024-09-20	1480	1220	82.43%	16	1.08%	244	16.49%	620	87.69%	26	3.68%	61	8.63%	77.67%	0.03%
2024-09-19	1195	829	69.37%	20	1.67%	346	28.95%	350	74.31%	46	9.77%	75	15.92%	70.44%	0.69%
2024-09-18	1860	1192	64.09%	29	1.56%	639	34.35%	297	53.80%	82	14.86%	173	31.34%	57.86%	0.49%
2024-09-13	472	134	28.39%	12	2.54%	326	69.07%	99	53.23%	19	10.22%	68	36.56%	55.83%	-0.48%
2024-09-12	674	309	45.85%	24	3.56%	341	50.59%	221	70.16%	20	6.35%	74	23.49%	66.33%	-0.17%
2024-09-11	1227	898	73.19%	16	1.30%	313	25.51%	429	78.86%	40	7.35%	75	13.79%	72.78%	-0.82%
2024-09-10	930	503	54.09%	22	2.37%	405	43.55%	155	54.58%	34	11.97%	95	33.45%	57.39%	0.28%
2024-09-09	2044	1504	73.58%	20	0.98%	520	25.44%	753	79.26%	69	7.26%	128	13.47%	73.03%	-1.06%
2024-09-06	1133	876	77.32%	18	1.59%	239	21.09%	401	80.20%	41	8.20%	58	11.60%	74.01%	-0.81%
2024-09-05	1017	726	71.39%	18	1.77%	273	26.84%	285	80.06%	20	5.62%	51	14.33%	73.01%	0.14%
2024-09-04	1253	948	75.66%	15	1.20%	290	23.14%	470	80.48%	37	6.34%	77	13.18%	73.55%	-0.67%
2024-09-03	993	618	62.24%	29	2.92%	346	34.84%	213	64.16%	43	12.95%	76	22.89%	64.44%	-0.29%
2024-09-02	1527	1211	79.31%	32	2.10%	284	18.60%	516	74.67%	69	9.99%	106	15.34%	70.77%	-1.10%
2024-08-30	931	754	80.99%	20	2.15%	157	16.86%	175	64.81%	50	18.52%	45	16.67%	66.85%	0.68%
2024-08-29	891	525	58.92%	12	1.35%	354	39.73%	205	56.01%	31	8.47%	130	35.52%	57.17%	-0.50%
2024-08-28	791	512	64.73%	19	2.40%	260	32.87%	160	65.04%	34	13.82%	52	21.14%	65.37%	-0.40%
2024-08-27	867	625	72.09%	17	1.96%	225	25.95%	235	73.21%	34	10.59%	52	16.20%	69.95%	-0.24%
2024-08-26	1457	1126	77.28%	21	1.44%	310	21.28%	268	61.61%	77	17.70%	90	20.69%	64.32%	0.04%
2024-08-23	1040	672	64.62%	22	2.12%	346	33.27%	160	55.94%	47	16.43%	79	27.62%	59.91%	0.20%
2024-08-22	553	137	24.77%	72	13.02%	344	62.21%	105	53.57%	16	8.16%	75	38.27%	55.36%	-0.27%
2024-08-21	895	377	42.12%	19	2.12%	499	55.75%	132	54.77%	29	12.03%	80	33.20%	57.55%	-0.35%
2024-08-20	772	493	63.86%	18	2.33%	261	33.81%	132	57.14%	40	17.32%	59	25.54%	61.06%	-0.93%
2024-08-19	1069	768	71.84%	18	1.68%	283	26.47%	187	57.01%	53	16.16%	88	26.83%	60.56%	0.49%
2024-08-16	906	673	74.28%	26	2.87%	207	22.85%	380	80.85%	32	6.81%	58	12.34%	73.98%	0.07%
2024-08-15	685	334	48.76%	21	3.07%	330	48.18%	188	68.86%	18	6.59%	67	24.54%	65.51%	0.94%
2024-08-14	921	616	66.88%	17	1.85%	288	31.27%	260	75.14%	36	10.40%	50	14.45%	71.24%	-0.60%
2024-08-13	790	505	63.92%	20	2.53%	265	33.54%	124	55.61%	33	14.80%	66	29.60%	59.10%	0.34%
2024-08-12	1441	1068	74.12%	28	1.94%	345	23.94%	219	55.03%	72	18.09%	107	26.88%	59.85%	-0.14%
2024-08-09	851	651	76.50%	24	2.82%	176	20.68%	155	60.55%	41	16.02%	60	23.44%	62.99%	-0.27%
2024-08-08	519	196	37.76%	17	3.28%	306	58.96%	136	51.13%	20	7.52%	110	41.35%	53.42%	0.00%
2024-08-07	734	474	64.58%	19	2.59%	241	32.83%	129	56.33%	41	17.90%	59	25.76%	60.70%	0.09%
2024-08-06	1034	444	42.94%	18	1.74%	572	55.32%	133	41.05%	43	13.27%	148	45.68%	48.38%	0.23%
2024-08-05	1256	918	73.09%	29	2.31%	309	24.60%	226	58.85%	64	16.67%	94	24.48%	62.03%	-1.54%
2024-08-02	716	485	67.74%	25	3.49%	206	28.77%	126	57.27%	33	15.00%	61	27.73%	60.34%	-0.92%
2024-08-01	730	433	59.32%	16	2.19%	281	38.49%	108	43.90%	23	9.35%	115	46.75%	49.00%	-0.22%
2024-07-31	730	529	72.47%	13	1.78%	188	25.75%	123	56.42%	40	18.35%	55	25.23%	60.92%	2.06%
2024-07-30	666	144	21.62%	18	2.70%	504	75.68%	86	36.75%	13	5.56%	135	57.69%	42.67%	-0.43%
2024-07-29	1479	1125	76.06%	29	1.96%	325	21.97%	243	56.38%	78	18.10%	110	25.52%	60.80%	0.03%
2024-07-26	1119	173	15.46%	17	1.52%	929	83.02%	119	45.95%	21	8.11%	119	45.95%	50.00%	0.14%
2024-07-25	914	497	54.38%	16	1.75%	401	43.87%	138	54.12%	31	12.16%	86	33.73%	57.14%	-0.52%
2024-07-24	1142	640	56.04%	16	1.40%	486	42.56%	169	52.65%	53	16.51%	99	30.84%	57.63%	-0.46%
2024-07-23	430	132	30.70%	24	5.58%	274	63.72%	76	48.41%	28	17.83%	53	33.76%	55.13%	-1.65%